,Subject,Counts,Rewarded,Treatment,k
426,WhiWhi2526M,"(46, 60)",False,CTRL,6
427,WhiWhi2526M,"(4, 18)",True,CTRL,6
428,RedGra7912M,"(66, 80)",False,CTRL,6
429,RedGra7912M,"(11, 25)",True,CTRL,6
430,BluYel2571F,"(40, 54)",False,CTRL,7
431,BluYel2571F,"(3, 17)",True,CTRL,7
432,YelPur7906M,"(24, 38)",False,CTRL,7
433,YelPur7906M,"(1, 15)",True,CTRL,7
434,WhiWhi2526M,"(50, 64)",False,CTRL,7
435,WhiWhi2526M,"(10, 24)",True,CTRL,7
436,RedGra7912M,"(89, 103)",False,CTRL,7
437,RedGra7912M,"(9, 23)",True,CTRL,7
438,BluYel2571F,"(24, 38)",False,CTRL,8
439,BluYel2571F,"(8, 22)",True,CTRL,8
440,YelPur7906M,"(17, 31)",False,CTRL,8
441,YelPur7906M,"(5, 19)",True,CTRL,8
442,WhiWhi2526M,"(39, 53)",False,CTRL,8
443,WhiWhi2526M,"(13, 26)",True,CTRL,8
444,RedGra7912M,"(116, 130)",False,CTRL,8
445,RedGra7912M,"(12, 26)",True,CTRL,8
446,BluYel2571F,"(45, 59)",False,CTRL,9
447,BluYel2571F,"(16, 30)",True,CTRL,9
448,YelPur7906M,"(7, 21)",False,CTRL,9
449,YelPur7906M,"(4, 18)",True,CTRL,9
450,WhiWhi2526M,"(20, 34)",False,CTRL,9
451,WhiWhi2526M,"(17, 29)",True,CTRL,9
452,RedGra7912M,"(68, 82)",False,CTRL,9
453,RedGra7912M,"(5, 19)",True,CTRL,9
454,BluYel2571F,"(42, 56)",False,CTRL,10
455,BluYel2571F,"(10, 24)",True,CTRL,10
456,YelPur7906M,"(14, 28)",False,CTRL,10
457,YelPur7906M,"(9, 23)",True,CTRL,10
458,WhiWhi2526M,"(20, 34)",False,CTRL,10
459,WhiWhi2526M,"(5, 17)",True,CTRL,10
460,RedGra7912M,"(103, 117)",False,CTRL,10
461,RedGra7912M,"(20, 34)",True,CTRL,10
